horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
9,cooperative,Stackelberg,3,6.76016902923584,26,26.404514153153997,[26.40451415  0.5         0.5        -3.        ],0.008
9,cooperative,State of the Art,3,0.547609806060791,26,26.404514153153997,[26.40451415  0.5         0.5        -3.        ],0.008
9,zerosum,Stackelberg,1,4.616134881973267,16,0.8060521004399491,[-0.8060521   0.65471077  1.57035809  3.73145455],0.2
9,zerosum,State of the Art,1,4.2175750732421875,16,0.8060521004399491,[-0.8060521   0.65471077 -0.00512395  3.73145455],0.2
9,zerosum,Stackelberg,2,7.523526191711426,26,0.8074951098966199,[-0.80749511  0.65471374  1.57035441  3.73145502],0.04
9,zerosum,State of the Art,2,5.814516067504883,26,0.8074951100469299,[-0.80749511  0.65471374 -0.00512268  3.73145502],0.04
9,zerosum,Stackelberg,3,7.125635862350464,26,0.8074951098966199,[-0.80749511  0.65471374  1.57035441  3.73145502],0.008
9,zerosum,State of the Art,3,6.038000822067261,26,0.8074951100469299,[-0.80749511  0.65471374 -0.00512268  3.73145502],0.008
9,generalsum,Stackelberg,1,4.440871000289917,16,9.183608967930205,[19.62765075 -0.72581927  3.04569679  2.13709036],0.2
9,generalsum,State of the Art,1,4.236454963684082,16,9.183608967930205,[19.62765075 -0.72581927  3.04569679  2.13709036],0.2
9,generalsum,Stackelberg,2,6.338721752166748,26,11.183693272887503,[19.61903431 -0.70845131  3.04859145  2.14577434],0.04
9,generalsum,State of the Art,2,6.627476930618286,26,11.183693272887503,[19.61903431 -0.70845131  3.04859145  2.14577434],0.04
9,generalsum,Stackelberg,3,6.299350023269653,26,11.183693272887503,[19.61903431 -0.70845131  3.04859145  2.14577434],0.008
9,generalsum,State of the Art,3,6.854567050933838,26,11.183693272887503,[19.61903431 -0.70845131  3.04859145  2.14577434],0.008
10,cooperative,Stackelberg,1,4.9653401374816895,16,29.096347330131458,[29.09634733  0.5         0.5        -3.        ],0.2
10,cooperative,State of the Art,1,0.45627498626708984,16,29.096347330131458,[29.09634733  0.5         0.5        -3.        ],0.2
10,cooperative,Stackelberg,2,7.772326946258545,26,29.096347330131458,[29.09634733  0.5         0.5        -3.        ],0.04
10,cooperative,State of the Art,2,0.7356538772583008,26,29.096347330131458,[29.09634733  0.5         0.5        -3.        ],0.04
10,cooperative,Stackelberg,3,8.008685827255249,26,29.096347330131458,[29.09634733  0.5         0.5        -3.        ],0.008
10,cooperative,State of the Art,3,0.7287118434906006,26,29.096347330131458,[29.09634733  0.5         0.5        -3.        ],0.008
